2026-04-17 19:58:44 - Launch Req: {"USER_ID":"1111111","GAME_NAME":"9 Wickets","GAME_UID":"48341a3bf62b6dd0814d7129e7e0834b"}
2026-04-17 19:58:44 - Game: 9 Wickets | UID: 48341a3bf62b6dd0814d7129e7e0834b | API Response: {"code":10022,"msg":"9wicket is not currently supported. Please contact customer service."}
2026-04-21 13:06:15 - Launch Req: {"USER_ID":"1111111","GAME_NAME":"Esports","GAME_UID":"4ee8e0051a035b463b47c3c473ce317d"}
2026-04-21 13:06:24 - Launch Req: {"USER_ID":"1111111","GAME_NAME":"Esports","GAME_UID":"4ee8e0051a035b463b47c3c473ce317d"}
2026-04-21 13:06:26 - Game: Esports | UID: 4ee8e0051a035b463b47c3c473ce317d | API Response: {"msg":"Your IP address is「2.50.167.63」，Access has been banned by the system, please contact the administrator to add a whitelist!","code":403}
2026-04-21 13:06:28 - Launch Req: {"USER_ID":"1111111","GAME_NAME":"Esports","GAME_UID":"4ee8e0051a035b463b47c3c473ce317d"}
2026-04-21 13:06:29 - Game: Esports | UID: 4ee8e0051a035b463b47c3c473ce317d | API Response: {"msg":"Your IP address is「2.50.167.63」，Access has been banned by the system, please contact the administrator to add a whitelist!","code":403}
2026-04-21 13:06:29 - Launch Req: {"USER_ID":"1111111","GAME_NAME":"SABA Sports","GAME_UID":"08ced9dd788aed11ff3c7f387ae0f063"}
2026-04-21 13:06:30 - Game: SABA Sports | UID: 08ced9dd788aed11ff3c7f387ae0f063 | API Response: {"msg":"Your IP address is「2.50.167.63」，Access has been banned by the system, please contact the administrator to add a whitelist!","code":403}
2026-04-21 13:06:30 - Launch Req: {"USER_ID":"1111111","GAME_NAME":"SABA Sports","GAME_UID":"08ced9dd788aed11ff3c7f387ae0f063"}
2026-04-21 13:06:31 - Game: SABA Sports | UID: 08ced9dd788aed11ff3c7f387ae0f063 | API Response: {"msg":"Your IP address is「2.50.167.63」，Access has been banned by the system, please contact the administrator to add a whitelist!","code":403}
2026-04-21 13:06:31 - Launch Req: {"USER_ID":"1111111","GAME_NAME":"SABA Sports","GAME_UID":"08ced9dd788aed11ff3c7f387ae0f063"}
2026-04-21 13:06:32 - Game: SABA Sports | UID: 08ced9dd788aed11ff3c7f387ae0f063 | API Response: {"msg":"Your IP address is「2.50.167.63」，Access has been banned by the system, please contact the administrator to add a whitelist!","code":403}
2026-04-22 19:10:22 - Launch Req: {"USER_ID":"9657967","GAME_NAME":"SABA Sports","GAME_UID":"08ced9dd788aed11ff3c7f387ae0f063"}
2026-04-22 19:10:23 - Game: SABA Sports | UID: 08ced9dd788aed11ff3c7f387ae0f063 | API Response: {"msg":"Your IP address is「2.50.167.63」，Access has been banned by the system, please contact the administrator to add a whitelist!","code":403}
